_time;dvc_name;src_ip;dest_ip;dest_port;application
2026-06-17T10:58:15.100+0000;IE1ENSFW01;10.204.249.211;10.175.216.101;10002;web-browsing
2026-06-17T10:31:36.100+0000;IE1ENSFW01;10.204.249.211;10.175.217.82;3000;web-browsing
2026-06-17T10:28:39.100+0000;IE1ENSFW01;10.204.249.211;10.175.217.124;10011;web-browsing
2026-06-17T10:22:32.100+0000;IE1ENSFW01;10.204.249.211;10.175.217.149;10001;web-browsing
2026-06-17T12:25:58.100+0000;IE1ENSFW01;10.204.249.161;10.175.218.214;10009;web-browsing
2026-06-17T11:01:38.100+0000;IE1ENSFW01;10.204.249.161;10.175.216.101;10007;web-browsing
2026-06-17T11:00:49.100+0000;IE1ENSFW01;10.204.249.161;10.175.217.36;10014;web-browsing
2026-06-17T10:58:29.100+0000;IE1ENSFW01;10.204.249.161;10.175.217.101;10001;web-browsing
2026-06-17T10:34:01.100+0000;IE1ENSFW01;10.204.249.161;10.175.217.82;10002;web-browsing
2026-06-17T10:29:08.100+0000;IE1ENSFW01;10.204.249.161;10.175.217.124;10014;web-browsing
2026-06-17T10:22:12.100+0000;IE1ENSFW01;10.204.249.161;10.175.217.149;10009;web-browsing
2026-06-17T10:19:21.100+0000;IE1ENSFW01;10.204.249.161;10.175.217.245;40081;web-browsing
2026-06-17T12:25:54.100+0000;IE1ENSFW01;10.204.249.155;10.175.218.214;8580;web-browsing
2026-06-17T11:16:55.100+0000;IE1ENSFW01;10.204.249.155;10.175.217.101;10002;web-browsing
2026-06-17T11:02:27.100+0000;IE1ENSFW01;10.204.249.155;10.175.216.101;8830;web-browsing
2026-06-17T10:49:44.100+0000;IE1ENSFW01;10.204.249.155;10.175.217.36;10008;web-browsing
2026-06-17T10:34:03.100+0000;IE1ENSFW01;10.204.249.155;10.175.217.82;8580;web-browsing
2026-06-17T10:29:25.100+0000;IE1ENSFW01;10.204.249.155;10.175.217.124;40080;web-browsing
2026-06-17T10:22:25.100+0000;IE1ENSFW01;10.204.249.155;10.175.217.149;10010;web-browsing
2026-06-17T10:17:16.100+0000;IE1ENSFW01;10.204.249.155;10.175.217.245;10009;web-browsing
2026-06-17T12:25:52.100+0000;IE1ENSFW01;10.204.249.213;10.175.218.214;8830;web-browsing
2026-06-17T11:15:37.100+0000;IE1ENSFW01;10.204.249.213;10.175.217.101;10008;web-browsing
2026-06-17T10:56:52.100+0000;IE1ENSFW01;10.204.249.213;10.175.217.36;10008;web-browsing
2026-06-17T10:54:14.100+0000;IE1ENSFW01;10.204.249.213;10.175.216.101;8580;web-browsing
2026-06-17T10:32:00.100+0000;IE1ENSFW01;10.204.249.213;10.175.217.82;10011;web-browsing
2026-06-17T10:27:19.100+0000;IE1ENSFW01;10.204.249.213;10.175.217.124;40081;web-browsing
2026-06-17T10:22:38.100+0000;IE1ENSFW01;10.204.249.213;10.175.217.149;8580;web-browsing
2026-06-17T10:11:35.100+0000;IE1ENSFW01;10.204.249.213;10.175.217.245;10011;web-browsing
2026-06-17T12:25:44.100+0000;IE1ENSFW01;10.204.249.252;10.175.218.214;3000;web-browsing
2026-06-17T11:15:50.100+0000;IE1ENSFW01;10.204.249.252;10.175.217.101;10004;web-browsing
2026-06-17T11:00:58.100+0000;IE1ENSFW01;10.204.249.252;10.175.216.101;10000;web-browsing
2026-06-17T10:33:21.100+0000;IE1ENSFW01;10.204.249.252;10.175.217.82;10010;web-browsing
2026-06-17T10:18:45.100+0000;IE1ENSFW01;10.204.249.252;10.175.217.149;10001;web-browsing
2026-06-17T10:18:13.100+0000;IE1ENSFW01;10.204.249.252;10.175.217.245;10013;web-browsing
2026-06-17T10:17:34.100+0000;IE1ENSFW01;10.204.249.252;10.175.217.124;10006;web-browsing
2026-06-17T12:25:42.100+0000;IE1ENSFW01;10.204.249.129;10.175.218.214;9580;web-browsing
2026-06-17T11:15:51.100+0000;IE1ENSFW01;10.204.249.129;10.175.217.101;10007;web-browsing
2026-06-17T11:04:08.100+0000;IE1ENSFW01;10.204.249.129;10.175.216.101;10010;web-browsing
2026-06-17T10:59:38.100+0000;IE1ENSFW01;10.204.249.129;10.175.217.36;10006;web-browsing
2026-06-17T10:32:47.100+0000;IE1ENSFW01;10.204.249.129;10.175.217.82;10011;web-browsing
2026-06-17T10:25:57.100+0000;IE1ENSFW01;10.204.249.129;10.175.217.124;10013;web-browsing
2026-06-17T10:20:08.100+0000;IE1ENSFW01;10.204.249.129;10.175.217.149;10000;web-browsing
2026-06-17T10:17:38.100+0000;IE1ENSFW01;10.204.249.129;10.175.217.245;40080;web-browsing
2026-06-17T12:25:19.100+0000;IE1ENSFW01;10.145.0.50;10.246.247.33;38312;incomplete
2026-06-17T12:23:10.100+0000;IE1ENSFW01;10.145.0.50;10.246.240.48;39990;incomplete
2026-06-17T12:16:54.100+0000;IE1ENSFW01;10.145.0.50;10.246.244.206;34704;incomplete
2026-06-17T12:16:53.100+0000;IE1ENSFW01;10.145.0.50;10.246.250.17;59676;incomplete
2026-06-17T12:16:53.100+0000;IE1ENSFW01;10.145.0.50;10.246.246.107;49490;incomplete
2026-06-17T12:16:53.100+0000;IE1ENSFW01;10.145.0.50;10.246.251.116;59714;incomplete
2026-06-17T12:16:53.100+0000;IE1ENSFW01;10.145.0.50;10.246.246.235;38010;incomplete
2026-06-17T12:16:52.100+0000;IE1ENSFW01;10.145.0.50;10.246.249.21;41364;incomplete
2026-06-17T11:51:31.100+0000;IE1ENSFW01;10.145.0.50;10.246.250.45;42620;incomplete
2026-06-17T11:43:30.100+0000;IE1ENSFW01;10.145.0.50;10.175.85.30;54910;incomplete
2026-06-17T11:29:57.100+0000;IE1ENSFW01;10.145.0.50;10.246.246.68;60768;incomplete
2026-06-17T11:20:04.100+0000;IE1ENSFW01;10.145.0.50;10.246.241.111;49830;incomplete
2026-06-17T11:14:02.100+0000;IE1ENSFW01;10.145.0.50;10.246.246.70;51020;incomplete
2026-06-17T10:33:29.100+0000;IE1ENSFW01;10.145.0.50;10.246.248.204;35196;incomplete
2026-06-17T10:11:52.100+0000;IE1ENSFW01;10.145.0.50;10.246.242.64;53520;incomplete
2026-06-17T10:05:53.100+0000;IE1ENSFW01;10.145.0.50;10.246.248.235;43904;incomplete
2026-06-17T10:02:56.100+0000;IE1ENSFW01;10.145.0.50;10.246.251.194;46196;incomplete
2026-06-17T10:00:01.100+0000;IE1ENSFW01;10.145.0.50;10.246.82.114;60330;incomplete
2026-06-17T12:25:05.100+0000;IE1ENSFW01;10.204.249.244;10.175.218.214;10012;web-browsing
2026-06-17T11:14:49.100+0000;IE1ENSFW01;10.204.249.244;10.175.217.101;10000;web-browsing
2026-06-17T11:01:36.100+0000;IE1ENSFW01;10.204.249.244;10.175.216.101;8580;web-browsing
2026-06-17T11:00:38.100+0000;IE1ENSFW01;10.204.249.244;10.175.217.36;10009;web-browsing
2026-06-17T10:32:22.100+0000;IE1ENSFW01;10.204.249.244;10.175.217.82;40081;web-browsing
2026-06-17T10:29:34.100+0000;IE1ENSFW01;10.204.249.244;10.175.217.124;10000;web-browsing
2026-06-17T10:22:50.100+0000;IE1ENSFW01;10.204.249.244;10.175.217.149;10002;web-browsing
2026-06-17T10:18:27.100+0000;IE1ENSFW01;10.204.249.244;10.175.217.245;10000;web-browsing
2026-06-17T12:24:47.100+0000;IE1ENSFW01;10.136.192.30;10.159.139.8;1433;mssql-db-unencrypted
2026-06-17T12:24:39.100+0000;IE1ENSFW01;10.145.2.93;10.246.248.204;36166;incomplete
2026-06-17T12:18:52.100+0000;IE1ENSFW01;10.145.2.93;10.246.244.210;35054;incomplete
2026-06-17T11:55:04.100+0000;IE1ENSFW01;10.145.2.93;10.246.249.111;60328;incomplete
2026-06-17T11:47:31.100+0000;IE1ENSFW01;10.145.2.93;10.246.249.230;53406;incomplete
2026-06-17T11:39:31.100+0000;IE1ENSFW01;10.145.2.93;10.246.247.71;42642;incomplete
2026-06-17T11:24:04.100+0000;IE1ENSFW01;10.145.2.93;10.246.241.210;59574;incomplete
2026-06-17T12:24:31.100+0000;IE1ENSFW01;10.145.2.51;10.246.69.88;53096;incomplete
2026-06-17T12:18:54.100+0000;IE1ENSFW01;10.145.2.51;10.246.66.88;46716;incomplete
2026-06-17T11:55:03.100+0000;IE1ENSFW01;10.145.2.51;10.246.69.109;41498;incomplete
2026-06-17T11:39:31.100+0000;IE1ENSFW01;10.145.2.51;10.246.65.244;59638;incomplete
2026-06-17T10:32:56.100+0000;IE1ENSFW01;10.145.2.51;10.246.65.109;54728;incomplete
2026-06-17T10:30:46.100+0000;IE1ENSFW01;10.145.2.51;10.246.69.224;55892;incomplete
